"","city","citycode","Occupational Diversity","Occupational Diversity Excluding First Quartile Exposure Jobs","Occupational Diversity Excluding the Bottom Two Exposure Levels","wage"
"1","七台河",230900,1.918802,1.502047,0.9674756,75169
"2","三亚",460200,1.900953,1.552448,0.9512483,106611
"3","三明",350400,1.934286,1.540014,0.9849707,108344
"4","三门峡",411200,1.760229,1.517792,0.983138,79470
"5","上海",310100,1.922402,1.518752,0.9996668,NA
"6","上饶",361100,1.886044,1.544935,0.9729661,82912
"7","东莞",441900,1.693768,1.544038,0.9636276,93768
"8","东营",370500,1.909776,1.559644,0.9978212,NA
"9","丽水",331100,1.876238,1.570197,0.9935548,NA
"10","丽江",530700,1.941424,1.577769,0.9982735,114264.39
"11","中卫",640500,1.846242,1.559024,0.9866319,NA
"12","中山",442000,1.689809,1.569992,0.997641,NA
"13","临夏",622900,1.851032,1.390869,0.9985619,86626.73
"14","临汾",141000,1.917972,1.567029,0.9843182,85075
"15","临沂",371300,1.965121,1.576999,0.9998772,NA
"16","临沧",530900,1.869061,1.49986,0.9992612,100527.86
"17","丹东",210600,1.963791,1.578184,0.99351,72596
"18","乌兰察布",150900,1.911668,1.583756,0.9985037,92115.86
"19","乌海",150300,1.869909,1.557832,0.9981192,108104.64
"20","乌鲁木齐",650100,1.968314,1.552411,0.9912305,NA
"21","乐山",511100,1.924156,1.571413,0.994218,NA
"22","九江",360400,1.850979,1.578709,0.9999722,85547
"23","云浮",445300,1.850177,1.567642,0.9919695,100328
"24","亳州",341600,1.85196,1.567719,0.9976483,83187
"25","伊春",230700,1.982624,1.562533,0.9901593,68540
"26","伊犁",654000,1.967524,1.567536,0.975664,NA
"27","佛山",440600,1.827851,1.554508,0.9861045,108934.05
"28","佳木斯",230800,1.958256,1.540846,0.9470923,68692
"29","保定",130600,1.92981,1.57575,0.9994459,86810
"30","保山",530500,1.851762,1.525807,0.9976723,95339
"31","信阳",411500,1.896071,1.55942,0.9756219,65978
"32","克孜勒苏",653000,1.808195,1.567332,0.973668,NA
"33","克拉玛依",650200,1.989389,1.572821,0.9944628,NA
"34","六安",341500,1.870986,1.571159,0.9962863,99416
"35","六盘水",520200,1.798498,1.581463,0.9988387,92539
"36","兰州",620100,1.946708,1.531846,0.9891055,100596.19
"37","内江",511000,1.918965,1.529579,0.9739055,NA
"38","凉山",513400,1.860554,1.581044,0.9946938,NA
"39","包头",150200,1.89099,1.57763,0.9999877,104327.72
"40","北京",110100,1.935878,1.530088,0.9927106,215143
"41","北海",450500,1.762705,1.578644,0.9982283,90759.65
"42","十堰",420300,1.887788,1.581979,0.9975588,NA
"43","南京",320100,1.916744,1.522581,0.9999924,NA
"44","南充",511300,1.922261,1.567341,0.9996446,NA
"45","南宁",450100,1.910198,1.538574,0.9994028,107580.7
"46","南平",350700,1.944939,1.56875,0.9934103,94101
"47","南昌",360100,1.892181,1.551656,0.9996414,106663
"48","南通",320600,1.841431,1.551745,0.988903,NA
"49","南阳",411300,1.923445,1.569798,0.9993699,67612
"50","博尔塔拉",652700,1.924677,1.552389,0.9981959,NA
"51","厦门",350200,1.914607,1.55289,0.9974903,124463
"52","双鸭山",230500,1.97284,1.549525,0.9807984,77041
"53","台州",331000,1.824844,1.547359,0.9697037,NA
"54","合肥",340100,1.920789,1.524551,0.9929588,117760
"55","吉安",360800,1.841195,1.568018,0.99899,82108
"56","吉林",220200,1.405639,0.7219281,0.7219281,NA
"57","吕梁",141100,1.915346,1.54451,0.9404388,91610
"58","吴忠",640300,1.77512,1.58365,0.9980306,NA
"59","周口",411600,1.841739,1.564422,0.9936551,60843
"60","呼伦贝尔",150700,1.990925,1.577587,0.9961463,96013.76
"61","呼和浩特",150100,1.965204,1.560689,0.9892648,109512.97
"62","和田",653200,1.955017,1.580507,0.9933772,NA
"63","咸宁",421200,1.89205,1.58438,0.999147,NA
"64","咸阳",610400,1.745609,1.571326,0.9998873,80648
"65","哈尔滨",230100,1.939884,1.559667,0.9785485,98219
"66","唐山",130200,1.915534,1.567844,0.9979628,95342
"67","商丘",411400,1.902342,1.580915,0.9979283,67231
"68","商洛",611000,1.861106,1.561869,0.9888036,67207
"69","喀什",653100,1.959903,1.537232,0.9879433,NA
"70","嘉兴",330400,1.799632,1.559404,0.9687052,NA
"71","嘉峪关",620200,1.918533,1.579304,0.9918704,101817.45
"72","四平",220300,1.953137,1.559709,0.963505,NA
"73","固原",640400,1.899049,1.510976,0.9884596,NA
"74","塔城",654200,1.917827,1.578127,0.9995708,NA
"75","大兴安岭",232700,1.820943,1.451167,0.9903749,76935
"76","大同",140200,1.949506,1.56725,0.9970041,89479
"77","大庆",230600,1.942015,1.584327,0.9991117,111624
"78","大理",532900,1.938365,1.567055,0.9991678,103299.05
"79","大连",210200,1.940746,1.560238,0.9973404,113945
"80","天水",620500,1.875466,1.5706,0.9959331,79406.84
"81","天津",120100,1.824943,1.56211,0.9998615,133691
"82","太原",140100,1.970046,1.560024,0.9895425,105242
"83","威海",371000,1.867031,1.564161,0.9996988,NA
"84","孝感",420900,1.788024,1.583577,0.9997833,NA
"85","宁德",350900,1.899711,1.558254,0.9757033,105184
"86","宁波",330200,1.780547,1.558432,0.9747197,NA
"87","安庆",340800,1.813251,1.558892,0.9999692,93278
"88","安康",610900,1.905738,1.554017,0.9789055,71879
"89","安阳",410500,1.868121,1.560336,0.9995533,73760
"90","安顺",520400,1.767303,1.567953,0.9914503,90710
"91","定西",621100,1.944365,1.545838,0.9860401,85144.91
"92","宜宾",511500,1.75663,1.582676,0.9966133,NA
"93","宜昌",420500,1.89393,1.575743,0.9985668,NA
"94","宜春",360900,1.873176,1.572969,0.9972675,77176
"95","宝鸡",610300,1.782363,1.575193,0.9968155,79326
"96","宣城",341800,1.800329,1.573606,0.9998542,90205
"97","宿州",341300,1.873374,1.528874,0.9919718,85159
"98","宿迁",321300,1.844528,1.517883,0.9794771,NA
"99","山南",540500,1.527574,1.560781,0.9666186,NA
"100","岳阳",430600,1.838142,1.570576,0.9997095,63312
"101","崇左",451400,1.746723,1.529803,0.9558691,88510.72
"102","巴中",511900,1.8062,1.526341,0.9864798,NA
"103","巴彦淖尔",150800,1.943297,1.578009,0.998017,95207.89
"104","巴音郭楞",652800,1.870342,1.566005,0.9917719,NA
"105","常州",320400,1.81451,1.5608,0.986472,NA
"106","常德",430700,1.893999,1.555862,0.9999208,63514
"107","平凉",620800,1.904223,1.510359,0.9976354,99139.96
"108","平顶山",410400,1.877739,1.524215,0.9805315,72821
"109","广元",510800,1.849746,1.563362,0.9918094,NA
"110","广安",511600,1.797812,1.573663,0.9843315,NA
"111","广州",440100,1.844193,1.553711,0.99988,152324
"112","庆阳",621000,1.869096,1.53674,0.9677007,94674.38
"113","廊坊",131000,1.824176,1.575397,0.9998279,111143
"114","延安",610600,1.900494,1.563013,0.9871956,86876
"115","延边",222400,1.978147,1.56584,0.9755259,NA
"116","开封",410200,1.840382,1.571075,0.9893619,69284
"117","张家口",130700,1.851245,1.557853,0.9745768,85293
"118","张家界",430800,1.865797,1.576587,0.9973807,55851
"119","张掖",620700,1.894968,1.540029,0.9716682,92578.13
"120","徐州",320300,1.928749,1.535246,0.9866588,NA
"121","德宏",533100,1.819949,1.520648,0.9963906,97308.25
"122","德州",371400,1.906005,1.56486,0.9983941,NA
"123","德阳",510600,1.830516,1.557825,0.982569,NA
